Area,Safety_index,Safety_index_code,Safety_index_code_val,count,Chain Snatching,Petty Robbery,Taking pictures without permission,Sexual Invites,Catcalls/Whistles,Commenting,Ogling/Lewd Facial Expressions/Staring,Touching /Groping,Others,Stalking,Poor / No Street Lighting,Indecent exposure,Indecent Exposure/Masturbation in public,Rape / Sexual Assault,North East India Report,Human Trafficking,Online Harassment,Quarter 3 : 12 Noon to 6 PM,Quarter 4 : 6 PM to 12 Midnight,Quarter 1 : 12 Midnight to 6 AM,Quarter 2 : 6 AM to 12 Noon
Moti Bagh,0.196986696,Green,2,14,0,0,2,1,3,7,0,1,0,0,0,0,0,0,0,0,0,4,7,2,1
Mukherjee Nagar,0.388941466,Green,2,45,0,0,1,0,9,22,7,1,3,0,0,2,0,0,0,0,0,3,10,30,2
Mundka,0.080032449,Green,2,5,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0
Munirka,1.87276928,Red,0,53,5,0,1,3,4,13,5,8,0,4,0,0,0,7,3,0,0,9,13,20,11
Najafgarh,0.426936697,Green,2,30,3,0,1,0,5,3,1,9,6,0,0,0,1,1,0,0,0,5,8,13,4
Nangloi,0.065870965,Green,2,13,0,0,0,0,3,6,2,1,1,0,0,0,0,0,0,0,0,2,4,3,4
Naraina,0.007886239,Green,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Nawada,0.009852217,Green,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Nehru Place,0.149251946,Green,2,12,0,0,0,1,2,2,0,5,0,2,0,0,0,0,0,0,0,0,4,6,2
Netaji Nagar,0.053239864,Green,2,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
New Aruna Nagar,0.010526316,Green,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
New Delhi Railway Station,0.150124322,Green,2,17,0,0,0,2,4,7,0,4,0,0,0,0,0,0,0,0,0,2,2,13,0
New Friends Colony,0.145492949,Green,2,19,0,0,1,0,12,4,0,2,0,0,0,0,0,0,0,0,0,4,4,11,0
Nilothi,0.004098361,Green,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nirman Vihar,0.019039989,Green,2,4,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1
North Campus,0.809379793,Yellow,1,58,3,0,3,2,8,20,4,4,9,2,0,3,0,0,0,0,0,10,14,22,12
Okhla,1.240761027,Red,0,142,9,1,2,5,51,44,9,18,3,0,0,0,0,0,0,0,0,59,9,59,15
Old Delhi Railway Station,0.015452424,Green,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Paharganj,7.712379003,Red,0,606,19,16,8,35,112,87,32,95,169,1,2,15,15,0,0,0,0,171,282,137,16
Palam,0.183648297,Green,2,15,0,1,0,0,4,5,0,3,1,0,0,1,0,0,0,0,0,3,0,8,4
Panchsheel Park,0.071592775,Green,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Pandav Nagar,0.060661972,Green,2,5,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,2,1,1
Paschim Vihar,0.454376883,Green,2,29,6,2,0,1,1,6,9,2,1,0,0,1,0,0,0,0,0,8,10,6,5
Patel Chowk,0.111111111,Green,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Patel Nagar,0.071963503,Green,2,10,1,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,7,3,0
Patparganj,0.085697956,Green,2,7,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,2,2,2
Pitampura,6.225625354,Red,0,406,32,4,17,13,111,90,38,45,30,5,5,6,4,5,0,0,1,51,102,202,51
Pragati Maidan,0.170804983,Green,2,19,0,0,0,0,7,6,1,4,0,0,0,1,0,0,0,0,0,6,1,10,2
Pragati Vihar,0.154207402,Green,2,12,0,0,0,1,3,4,0,2,1,0,0,1,0,0,0,0,0,2,1,8,1
Preet Vihar,0.07991177,Green,2,11,0,0,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,2,3,4,2
Prem Nagar,0.012812348,Green,2,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Purana Quila,0.003787879,Green,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pushp Vihar,0.087828947,Green,2,5,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,3,1
Pushpa Bhavan,0.012295082,Green,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Rabindra Nagar,0.333333333,Green,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Race Course,0.037446074,Green,2,6,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,2
Raj Ghat,0.004098361,Green,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rajinder Nagar,0.06167483,Green,2,6,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,4,1,0
Rajiv Chowk,0.034175461,Green,2,5,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0
Rajokri,0.089053093,Green,2,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Rajouri Garden,0.035348361,Green,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Rangpuri,0.051129732,Green,2,6,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0
Red Fort,0.195833333,Green,2,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0
Ridge Area,0.016443476,Green,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0
Rithala,0.004926108,Green,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rk Puram,0.034852217,Green,2,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
RK Puram,0.535561278,Yellow,1,16,0,0,3,2,0,5,1,0,0,0,0,2,1,2,0,0,0,2,7,4,3
Rohini,0.71208725,Yellow,1,44,3,1,2,5,8,12,4,4,1,1,1,1,1,0,0,0,0,16,15,7,6
Roop Nagar,0.008196721,Green,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Sadar Bazaar,0.142467451,Green,2,6,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,2,3,1,0
Safdarjung Enclave,0.072449283,Green,2,11,0,0,0,0,5,2,0,4,0,0,0,0,0,0,0,0,0,3,2,4,2
